hora,distrito,direccion,latitude,longitude,avg_count
1:00:00 AM,Centro,"Calle Bailén 10, 28013 Madrid",40.415.111,-3.713.569,290.41
2:00:00 AM,Centro,"Calle Bailén 10, 28013 Madrid",40.415.111,-3.713.569,180.43
3:00:00 AM,Centro,"Calle Bailén 10, 28013 Madrid",40.415.111,-3.713.569,111.39
4:00:00 AM,Centro,"Calle Bailén 10, 28013 Madrid",40.415.111,-3.713.569,53.76
5:00:00 AM,Centro,"Calle Bailén 10, 28013 Madrid",40.415.111,-3.713.569,40.90
6:00:00 AM,Centro,"Calle Bailén 10, 28013 Madrid",40.415.111,-3.713.569,56.46
7:00:00 AM,Centro,"Calle Bailén 10, 28013 Madrid",40.415.111,-3.713.569,123.01
8:00:00 AM,Centro,"Calle Bailén 10, 28013 Madrid",40.415.111,-3.713.569,167.13
9:00:00 AM,Centro,"Calle Bailén 10, 28013 Madrid",40.415.111,-3.713.569,318.36
10:00:00 AM,Centro,"Calle Bailén 10, 28013 Madrid",40.415.111,-3.713.569,263.03
11:00:00 AM,Centro,"Calle Bailén 10, 28013 Madrid",40.415.111,-3.713.569,388.82
12:00:00 PM,Centro,"Calle Bailén 10, 28013 Madrid",40.415.111,-3.713.569,612.34
1:00:00 PM,Centro,"Calle Bailén 10, 28013 Madrid",40.415.111,-3.713.569,"1,103.87"
2:00:00 PM,Centro,"Calle Bailén 10, 28013 Madrid",40.415.111,-3.713.569,"1,836.71"
3:00:00 PM,Centro,"Calle Bailén 10, 28013 Madrid",40.415.111,-3.713.569,"2,135.70"
4:00:00 PM,Centro,"Calle Bailén 10, 28013 Madrid",40.415.111,-3.713.569,"1,976.54"
5:00:00 PM,Centro,"Calle Bailén 10, 28013 Madrid",40.415.111,-3.713.569,"1,635.96"
6:00:00 PM,Centro,"Calle Bailén 10, 28013 Madrid",40.415.111,-3.713.569,"1,591.29"
7:00:00 PM,Centro,"Calle Bailén 10, 28013 Madrid",40.415.111,-3.713.569,"1,621.45"
8:00:00 PM,Centro,"Calle Bailén 10, 28013 Madrid",40.415.111,-3.713.569,"1,657.79"
9:00:00 PM,Centro,"Calle Bailén 10, 28013 Madrid",40.415.111,-3.713.569,"1,466.61"
10:00:00 PM,Centro,"Calle Bailén 10, 28013 Madrid",40.415.111,-3.713.569,"1,217.48"
11:00:00 PM,Centro,"Calle Bailén 10, 28013 Madrid",40.415.111,-3.713.569,962.55
12:00:00 AM,,"Calle de Doña Urraca 24, 28011 Madrid",40.412.929,-3.726.496,27.75
1:00:00 AM,,"Calle de Doña Urraca 24, 28011 Madrid",40.412.929,-3.726.496,12.14
2:00:00 AM,,"Calle de Doña Urraca 24, 28011 Madrid",40.412.929,-3.726.496,5.78
3:00:00 AM,,"Calle de Doña Urraca 24, 28011 Madrid",40.412.929,-3.726.496,3.09
4:00:00 AM,,"Calle de Doña Urraca 24, 28011 Madrid",40.412.929,-3.726.496,3.26
5:00:00 AM,,"Calle de Doña Urraca 24, 28011 Madrid",40.412.929,-3.726.496,6.18
6:00:00 AM,,"Calle de Doña Urraca 24, 28011 Madrid",40.412.929,-3.726.496,18.95
7:00:00 AM,,"Calle de Doña Urraca 24, 28011 Madrid",40.412.929,-3.726.496,58.73
8:00:00 AM,,"Calle de Doña Urraca 24, 28011 Madrid",40.412.929,-3.726.496,101.49
9:00:00 AM,,"Calle de Doña Urraca 24, 28011 Madrid",40.412.929,-3.726.496,126.22
10:00:00 AM,,"Calle de Doña Urraca 24, 28011 Madrid",40.412.929,-3.726.496,155.61
11:00:00 AM,,"Calle de Doña Urraca 24, 28011 Madrid",40.412.929,-3.726.496,189.43
12:00:00 PM,,"Calle de Doña Urraca 24, 28011 Madrid",40.412.929,-3.726.496,208.55
1:00:00 PM,,"Calle de Doña Urraca 24, 28011 Madrid",40.412.929,-3.726.496,212.67
2:00:00 PM,,"Calle de Doña Urraca 24, 28011 Madrid",40.412.929,-3.726.496,170.99
3:00:00 PM,,"Calle de Doña Urraca 24, 28011 Madrid",40.412.929,-3.726.496,137.59
4:00:00 PM,,"Calle de Doña Urraca 24, 28011 Madrid",40.412.929,-3.726.496,150.48
5:00:00 PM,,"Calle de Doña Urraca 24, 28011 Madrid",40.412.929,-3.726.496,177.59
6:00:00 PM,,"Calle de Doña Urraca 24, 28011 Madrid",40.412.929,-3.726.496,220.68
