euct_name,euct_lat,euct_lon,gp_rating,gp_reviewCount,gp_website,gp_openingHours,gp_source_id,gp_google_maps_url
Masamune Specialty Coffee,40.4261401,-3.7014788,4.6,539,http://masamune.coffee/,Monday: 8:30 AM – 8:00 PM; Tuesday: 8:30 AM – 8:00 PM; Wednesday: 9:00 AM – 8:00 PM; Thursday: 8:30 AM – 8:00 PM; Friday: 8:30 AM – 8:00 PM; Saturday: 9:30 AM – 8:00 PM; Sunday: 9:30 AM – 8:00 PM,ChIJ4bGtRgApQg0RSr29fjD6vZw,https://www.google.com/maps/place/?q=place_id:ChIJ4bGtRgApQg0RSr29fjD6vZw
East Crema Coffee Eloy,40.4343482,-3.7006447,4.6,152,http://www.eastcrema.com/,Monday: 8:00 AM – 8:00 PM; Tuesday: 8:00 AM – 8:00 PM; Wednesday: 8:00 AM – 8:00 PM; Thursday: 8:00 AM – 8:00 PM; Friday: 8:00 AM – 8:00 PM; Saturday: 9:00 AM – 8:00 PM; Sunday: 9:00 AM – 8:00 PM,ChIJSdMLTz8pQg0R06zkTbdWcIg,https://www.google.com/maps/place/?q=place_id:ChIJSdMLTz8pQg0R06zkTbdWcIg
DopiCo Specialty Coffee,40.4262536,-3.7169153,4.6,200,https://www.instagram.com/_.dopico._/,Monday: 9:00 AM – 7:00 PM; Tuesday: 9:00 AM – 7:00 PM; Wednesday: 9:00 AM – 7:30 PM; Thursday: 9:00 AM – 7:00 PM; Friday: 9:00 AM – 7:30 PM; Saturday: 10:00 AM – 7:30 PM; Sunday: 10:00 AM – 7:30 PM,ChIJkyBZsMMpQg0RH_oUEu7teO4,https://www.google.com/maps/place/?q=place_id:ChIJkyBZsMMpQg0RH_oUEu7teO4
Wilko,40.4351782,-3.7084527,4.6,893,http://www.wilko.coffee/,Monday: 8:00 AM – 8:00 PM; Tuesday: 8:00 AM – 8:00 PM; Wednesday: 8:00 AM – 8:00 PM; Thursday: 8:00 AM – 8:00 PM; Friday: 8:00 AM – 8:00 PM; Saturday: 8:00 AM – 8:00 PM; Sunday: 8:00 AM – 8:00 PM,ChIJdfy9RpcpQg0RgIPCbyTJ90o,https://www.google.com/maps/place/?q=place_id:ChIJdfy9RpcpQg0RgIPCbyTJ90o
Dosis Cafe,40.4324052,-3.7032422,4.8,893,https://dosiscafe.es/,Monday: 8:30 AM – 8:00 PM; Tuesday: 8:30 AM – 8:00 PM; Wednesday: 8:30 AM – 8:00 PM; Thursday: 8:30 AM – 8:00 PM; Friday: 8:30 AM – 8:00 PM; Saturday: 9:00 AM – 8:00 PM; Sunday: 9:00 AM – 8:00 PM,ChIJMXHRn_0pQg0RBflt_fm3HUQ,https://www.google.com/maps/place/?q=place_id:ChIJMXHRn_0pQg0RBflt_fm3HUQ
9 Lives Bakery,40.4339273,-3.7068502,4.7,449,https://9lives.es/?utm_source=google&utm_medium=seo&utm_campaign=gbp,Monday: 9:00 AM – 8:00 PM; Tuesday: Closed; Wednesday: 9:00 AM – 8:00 PM; Thursday: 9:00 AM – 8:00 PM; Friday: 9:00 AM – 8:00 PM; Saturday: 10:00 AM – 8:00 PM; Sunday: 10:00 AM – 8:00 PM,ChIJ_-Qa45cpQg0R1qiKEKbFILk,https://www.google.com/maps/place/?q=place_id:ChIJ_-Qa45cpQg0R1qiKEKbFILk
Green Coffees Roasters,40.4343229,-3.7026227,4.7,134,https://greencoffees.es/,Monday: 8:00 AM – 7:00 PM; Tuesday: 8:00 AM – 6:30 PM; Wednesday: 8:00 AM – 7:00 PM; Thursday: 8:00 AM – 7:00 PM; Friday: 8:00 AM – 7:00 PM; Saturday: 9:30 AM – 7:30 PM; Sunday: 9:30 AM – 7:30 PM,ChIJe7vcQuEpQg0RmHoYDHWADi4,https://www.google.com/maps/place/?q=place_id:ChIJe7vcQuEpQg0RmHoYDHWADi4
COFI.,40.4290587,-3.7077288,4.4,682,http://www.instagram.com/cofi.mad/,Monday: 8:00 AM – 8:30 PM; Tuesday: 8:00 AM – 8:30 PM; Wednesday: 8:00 AM – 8:30 PM; Thursday: 8:00 AM – 8:30 PM; Friday: 8:00 AM – 8:30 PM; Saturday: 8:30 AM – 8:30 PM; Sunday: 8:30 AM – 8:30 PM,ChIJieP57TgpQg0RsC0-GaYDBjg,https://www.google.com/maps/place/?q=place_id:ChIJieP57TgpQg0RsC0-GaYDBjg
Santa Kafeina,40.4359141,-3.700111,4.8,410,,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,ChIJo2WcVfQoQg0RcQJ1tCoeXW0,https://www.google.com/maps/place/?q=place_id:ChIJo2WcVfQoQg0RcQJ1tCoeXW0
Green Coffees Roasters,40.4343229,-3.7026227,4.7,207,https://www.instagram.com/saintgeorgescafe/?hl=en,Monday: 8:00 AM – 4:00 PM; Tuesday: 8:00 AM – 4:00 PM; Wednesday: 8:00 AM – 4:00 PM; Thursday: 8:00 AM – 4:00 PM; Friday: 8:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,ChIJg1FKWfUoQg0R1FvKfnEMRLk,https://www.google.com/maps/place/?q=place_id:ChIJg1FKWfUoQg0R1FvKfnEMRLk
