name,address,lat,lon,rating,reviewCount,website,openingHours,source_id,category,primaryType,fetchedAt,googleMapsUrl
Wifit Gym Moratalaz,"Av. de Moratalaz, 181, Moratalaz, 28030 Madrid, Spain",40.40784310000001,-3.6464386999999996,4.1,40,https://wifitgyms.com/,Monday: 7:00 AM – 10:30 PM; Tuesday: 7:00 AM – 10:30 PM; Wednesday: 7:00 AM – 10:30 PM; Thursday: 7:00 AM – 10:30 PM; Friday: 7:00 AM – 10:00 PM; Saturday: 9:00 AM – 6:00 PM; Sunday: 9:00 AM – 2:30 PM,ChIJ2V5Ne_QlQg0RH2HLMZmtNp4,Gym,gym,2026-02-05T10:47:00.973Z,https://www.google.com/maps/place/?q=place_id:ChIJ2V5Ne_QlQg0RH2HLMZmtNp4
Anytime Fitness Hortaleza,"C. de Mota del Cuervo, 30, Hortaleza, 28043 Madrid, Spain",40.4645801,-3.6335069,4,299,https://www.anytimefitness.es/gimnasio/sp-0060/hortaleza-madrid-28043/,Monday: 6:00 AM – 12:00 AM; Tuesday: 6:00 AM – 12:00 AM; Wednesday: 6:00 AM – 12:00 AM; Thursday: 6:00 AM – 12:00 AM; Friday: 6:00 AM – 12:00 AM; Saturday: 6:00 AM – 12:00 AM; Sunday: 6:00 AM – 12:00 AM,ChIJAZVjE-UuQg0R0XBl1gYudiQ,Gym,gym,2026-02-05T10:47:00.973Z,https://www.google.com/maps/place/?q=place_id:ChIJAZVjE-UuQg0R0XBl1gYudiQ
Miami Fit,"C. del Lago Titicaca, 8, Vicálvaro, 28032 Madrid, Spain",40.4023691,-3.6085727,4.5,437,https://www.miamifit.es/,Monday: 6:00 AM – 11:00 PM; Tuesday: 6:00 AM – 11:00 PM; Wednesday: 6:00 AM – 11:00 PM; Thursday: 6:00 AM – 11:00 PM; Friday: 6:00 AM – 11:00 PM; Saturday: 8:00 AM – 11:00 PM; Sunday: 8:00 AM – 11:00 PM,ChIJtXI58G4lQg0RGsLFPAL5Cj4,Gym,gym,2026-02-05T10:47:00.973Z,https://www.google.com/maps/place/?q=place_id:ChIJtXI58G4lQg0RGsLFPAL5Cj4
Gimnasio Infinit Fitness Conde Orgaz - Abierto 24 horas,"Av. del Papa Negro, 20-22, Hortaleza, 28043 Madrid, Spain",40.457484199999996,-3.624089299999999,4.6,134,https://www.infinitfitness.es/clubs/condeorgaz,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,ChIJm-Jb5PkvQg0R3Uys7uXddnM,Gym,gym,2026-02-05T10:47:00.973Z,https://www.google.com/maps/place/?q=place_id:ChIJm-Jb5PkvQg0R3Uys7uXddnM
Planet Fitness,"Poligono Industrial Las Mercedes, C/ de Campezo, 3, San Blas-Canillejas, 28022 Madrid, Spain",40.4473702,-3.5820376999999994,5,2,https://www.planetfitness.es/gimnasios/las-mercedes-madrid?utm_medium=yext&utm_source=extnet,Monday: 6:00 AM – 11:00 PM; Tuesday: 6:00 AM – 11:00 PM; Wednesday: 6:00 AM – 11:00 PM; Thursday: 6:00 AM – 11:00 PM; Friday: 6:00 AM – 11:00 PM; Saturday: 8:00 AM – 8:00 PM; Sunday: 10:00 AM – 3:00 PM,ChIJfarwq0IvQg0Rpe9WA_timto,Gym,fitness_center,2026-02-05T10:47:00.973Z,https://www.google.com/maps/place/?q=place_id:ChIJfarwq0IvQg0Rpe9WA_timto
Brooklyn Fitboxing Las rosas,"C. de Aquitania, 28, San Blas-Canillejas, 28032 Madrid, Spain",40.4196059,-3.6152137000000004,4.9,406,https://bfclick.com/las-rosas-gmb,"Monday: 7:00 – 9:00 AM, 9:30 – 11:30 AM, 1:30 – 2:30 PM, 4:00 – 10:00 PM; Tuesday: 8:00 – 9:00 AM, 9:30 – 11:30 AM, 2:00 – 3:00 PM, 4:00 – 10:00 PM; Wednesday: 7:00 – 9:00 AM, 9:30 – 11:30 AM, 1:30 – 2:30 PM, 4:00 – 10:00 PM; Thursday: 8:00 – 9:00 AM, 9:30 – 11:30 AM, 2:00 – 10:00 PM; Friday: 7:00 – 9:00 AM, 9:30 – 11:30 AM, 3:00 – 8:00 PM; Saturday: 9:00 AM – 1:00 PM; Sunday: 10:00 – 11:00 AM",ChIJoyLCC3QvQg0RbJnYSACb41Y,Gym,gym,2026-02-05T10:47:00.973Z,https://www.google.com/maps/place/?q=place_id:ChIJoyLCC3QvQg0RbJnYSACb41Y
C1 CrossFit,"C. Alegría de Oria, 1, posterior, San Blas-Canillejas, 28027 Madrid, Spain",40.4402378,-3.6312401999999997,4.9,349,http://www.c1crossfit.com/,Monday: 7:00 AM – 10:00 PM; Tuesday: 7:00 AM – 10:00 PM; Wednesday: 7:00 AM – 10:00 PM; Thursday: 7:00 AM – 10:00 PM; Friday: 7:00 AM – 9:00 PM; Saturday: 10:00 AM – 2:00 PM; Sunday: Closed,ChIJUQ-H4w0vQg0RLMeuy1a0Vho,Gym,fitness_center,2026-02-05T10:47:00.973Z,https://www.google.com/maps/place/?q=place_id:ChIJUQ-H4w0vQg0RLMeuy1a0Vho
Spacio Deportivo El Capricho,"C. de La Rioja, 1, Barajas, 28042 Madrid, Spain",40.4543398,-3.5930282,4,304,http://www.spaciodeportivo.com/,Monday: 7:00 AM – 10:30 PM; Tuesday: 7:00 AM – 10:30 PM; Wednesday: 7:00 AM – 10:30 PM; Thursday: 7:00 AM – 10:30 PM; Friday: 7:00 AM – 10:30 PM; Saturday: 9:00 AM – 3:00 PM; Sunday: 9:00 AM – 3:00 PM,ChIJF0RSCs0vQg0ReAn1eFzDavg,Gym,fitness_center,2026-02-05T10:47:00.973Z,https://www.google.com/maps/place/?q=place_id:ChIJF0RSCs0vQg0ReAn1eFzDavg
Gimnasio VivaGym Julián Camarillo,"C. de Alfonso Gómez, 61, San Blas-Canillejas, 28037 Madrid, Spain",40.4341343,-3.6259373,4.2,122,https://www.vivagym.com/es-es/gimnasios/madrid/capital/julian-camarillo/?utm_source=gmb&utm_medium=organic&utm_campaign=250922_es_gmb_conversion_generic_julian-camarillo,"Monday: 6:00 AM – 11:00 PM; Tuesday: 6:00 AM – 11:00 PM; Wednesday: 6:00 AM – 11:00 PM; Thursday: 6:00 AM – 11:00 PM; Friday: 6:00 AM – 11:00 PM; Saturday: 8:30 AM – 2:00 PM, 5:00 – 8:30 PM; Sunday: 8:30 AM – 2:00 PM, 5:00 – 8:30 PM",ChIJ72xvCZMvQg0RHynEiGKup20,Gym,gym,2026-02-05T10:47:00.973Z,https://www.google.com/maps/place/?q=place_id:ChIJ72xvCZMvQg0RHynEiGKup20
Gimnasio Theo,"C. de Agustín Calvo, 47, 1ª Planta, Hortaleza, 28043 Madrid, Spain",40.4645401,-3.6469915999999993,4.7,74,http://gimnasiotheo.com/,"Monday: 9:00 AM – 2:00 PM, 5:00 – 10:00 PM; Tuesday: 9:00 AM – 2:00 PM, 5:00 – 10:00 PM; Wednesday: 9:00 AM – 2:00 PM, 5:00 – 10:00 PM; Thursday: 9:00 AM – 2:00 PM, 5:00 – 10:00 PM; Friday: 9:00 AM – 2:00 PM, 5:00 – 10:00 PM; Saturday: Closed; Sunday: Closed",ChIJx-RfoNwuQg0R0uypDcOhjGg,Gym,gym,2026-02-05T10:47:00.973Z,https://www.google.com/maps/place/?q=place_id:ChIJx-RfoNwuQg0R0uypDcOhjGg
