Category,Name,Lat,Lon,Address,MapsURL,Status
Train Station,Praha-Braník,50.0279019,14.4068543,,"https://www.google.com/maps/search/50.0279019,14.4068543",
University,International Baptist Theological Seminary,50.1057897,14.3516009,"Nad Habrovkou, 2308/3, Praha","https://www.google.com/maps/search/50.1057897,14.3516009",
Train Station,Praha-Zličín,50.0641969,14.2977826,,"https://www.google.com/maps/search/50.0641969,14.2977826",
Train Station,Prague-Veleslavín,50.0949203,14.3461337,,"https://www.google.com/maps/search/50.0949203,14.3461337",
Train Station,Prague Masaryk Station,50.0878277,14.4341916,,"https://www.google.com/maps/search/50.0878277,14.4341916",
Train Station,Hostivice,50.0840764,14.2583603,,"https://www.google.com/maps/search/50.0840764,14.2583603",
University,Vysoká škola hotelová,50.1282384,14.4108624,"Stanošky, 17, Praha","https://www.google.com/maps/search/50.1282384,14.4108624",
Shopping Center,OC Černokostelecká,50.0044761,14.6566335,,"https://www.google.com/maps/search/50.0044761,14.6566335",
University,Studio FAMU,50.0914749,14.4285493,"Klimentská, 1205/4","https://www.google.com/maps/search/50.0914749,14.4285493",
University,CESNET,50.0988037,14.3886785,"Generála Píky, 430/26, Praha 6","https://www.google.com/maps/search/50.0988037,14.3886785",
Train Station,Praha-Zahradní Město,50.0621421,14.5038101,,"https://www.google.com/maps/search/50.0621421,14.5038101",
University,Czech Technical University in Prague,50.1029026,14.3946353,,"https://www.google.com/maps/search/50.1029026,14.3946353",
University,Fakulta stavební ČVUT,50.1041085,14.3881497,"Thákurova, 7/2077","https://www.google.com/maps/search/50.1041085,14.3881497",
University,Fakulta architektury ČVUT,50.1050367,14.3898904,,"https://www.google.com/maps/search/50.1050367,14.3898904",
University,Fakulta informačních technologií ČVUT,50.1050066,14.389523,,"https://www.google.com/maps/search/50.1050066,14.389523",
Train Station,Praha-Uhříněves,50.0336817,14.5916087,,"https://www.google.com/maps/search/50.0336817,14.5916087",
Train Station,Praha-Libeň,50.1006626,14.5023285,,"https://www.google.com/maps/search/50.1006626,14.5023285",
Train Station,Praha-Krč,50.034301,14.4465597,,"https://www.google.com/maps/search/50.034301,14.4465597",
University,Fakulta Sociálních Věd UK,50.0545573,14.3507311,,"https://www.google.com/maps/search/50.0545573,14.3507311",
